证券代码,证券简称,公司全称,上市日期
600262,北方股份,内蒙古北方重型汽车股份有限公司,2000-06-30
600265,ST景谷,云南景谷林业股份有限公司,2000-08-25
600266,城建发展,北京城建投资发展股份有限公司,1999-02-03
600267,海正药业,浙江海正药业股份有限公司,2000-07-25
600268,国电南自,国电南京自动化股份有限公司,1999-11-18
600269,赣粤高速,江西赣粤高速公路股份有限公司,2000-05-18
600271,XD航天信,航天信息股份有限公司,2003-07-11
600272,开开实业,上海开开实业股份有限公司,2001-02-28
600273,嘉化能源,浙江嘉化能源化工股份有限公司,2003-06-27
600276,恒瑞医药,江苏恒瑞医药股份有限公司,2000-10-18
600277,亿利洁能,亿利洁能股份有限公司,2000-07-25
600278,东方创业,东方国际创业股份有限公司,2000-07-12
600279,重庆港,重庆港股份有限公司,2000-07-31
600280,中央商场,南京中央商场(集团)股份有限公司,2000-09-26
600281,华阳新材,山西华阳新材料股份有限公司,2000-11-09
600282,南钢股份,南京钢铁股份有限公司,2000-09-19
600283,钱江水利,钱江水利开发股份有限公司,2000-10-18
600284,浦东建设,上海浦东建设股份有限公司,2004-03-16
600285,羚锐制药,河南羚锐制药股份有限公司,2000-10-18
600287,江苏舜天,江苏舜天股份有限公司,2000-09-01
600288,大恒科技,大恒新纪元科技股份有限公司,2000-11-29
600289,ST信通,亿阳信通股份有限公司,2000-07-20
600290,*ST华仪,华仪电气股份有限公司,2000-11-06
600292,远达环保,国家电投集团远达环保股份有限公司,2000-11-01
600293,三峡新材,湖北三峡新型建材股份有限公司,2000-09-19
600295,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司,2001-04-26
600297,广汇汽车,广汇汽车服务集团股份公司,2000-11-16
600298,安琪酵母,安琪酵母股份有限公司,2000-08-18
600299,安迪苏,蓝星安迪苏股份有限公司,2000-04-20
600300,维维股份,维维食品饮料股份有限公司,2000-06-30
600301,华锡有色,广西华锡有色金属股份有限公司,2000-07-12
600302,标准股份,西安标准工业股份有限公司,2000-12-13
600303,ST曙光,辽宁曙光汽车集团股份有限公司,2000-12-26
600305,恒顺醋业,江苏恒顺醋业股份有限公司,2001-02-06
600306,*ST商城,沈阳商业城股份有限公司,2000-12-26
